on_street_name,danger_score_global,danger_score_pedestrians,danger_score_cyclists,danger_score_motorists,reversed_danger_score_global,reversed_danger_score_pedestrians,reversed_danger_score_cyclists,reversed_danger_score_motorists
 100th Avenue,8,6,6,7,2454,1455,1450,1948
 100th Street,15,11,12,12,2447,1450,1444,1943
 101st Avenue,30,25,22,23,2432,1436,1434,1932
 101st Street,10,8,8,9,2452,1453,1448,1946
 102nd Avenue,2,2,2,2,2460,1459,1454,1953
 102nd Street,17,15,16,15,2445,1446,1440,1940
 103rd Avenue,11,7,7,9,2451,1454,1449,1946
 103rd Street,27,20,19,17,2435,1441,1437,1938
 104th Avenue,14,10,10,12,2448,1451,1446,1943
 104th Road,1,1,1,1,2461,1460,1455,1954
 104th Street,26,20,19,19,2436,1441,1437,1936
 105th Avenue,9,7,7,8,2453,1454,1449,1947
 105th Street,9,9,9,9,2453,1452,1447,1946
 106th Avenue,1,1,1,1,2461,1460,1455,1954
 106th Street,11,7,7,9,2451,1454,1449,1946
 107th Avenue,22,20,20,21,2440,1441,1436,1934
 107th Street,12,12,12,12,2450,1449,1444,1943
 108th Avenue,1,1,1,1,2461,1460,1455,1954
 108th Street,32,24,26,26,2430,1437,1430,1929
 109th Avenue,9,8,7,7,2453,1453,1449,1948
 109th Road,5,5,5,5,2457,1456,1451,1950
 109th Street,6,4,4,5,2456,1457,1452,1950
 10th Avenue,4,3,2,2,2458,1458,1454,1953
 10th Street,13,11,9,9,2449,1450,1447,1946
 110th Avenue,12,10,10,11,2450,1451,1446,1944
 110th Road,4,4,4,4,2458,1457,1452,1951
 110th Street,12,8,8,10,2450,1453,1448,1945
 111th Avenue,5,3,3,4,2457,1458,1453,1951
 111th Street,33,24,25,25,2429,1437,1431,1930
 112th Avenue,5,5,5,5,2457,1456,1451,1950
 112th Road,5,3,3,4,2457,1458,1453,1951
 112th Street,8,6,6,7,2454,1455,1450,1948
 113th Avenue,8,4,4,6,2454,1457,1452,1949
 113th Drive,1,1,1,1,2461,1460,1455,1954
 113th Road,1,1,1,1,2461,1460,1455,1954
 113th Street,6,5,4,4,2456,1456,1452,1951
 114th Drive,1,1,1,1,2461,1460,1455,1954
 114th Road,10,6,7,7,2452,1455,1449,1948
 114th Street,14,12,13,12,2448,1449,1443,1943
 115th Avenue,9,7,7,8,2453,1454,1449,1947
 115th Drive,3,3,3,3,2459,1458,1453,1952
 115th Road,3,3,3,3,2459,1458,1453,1952
 115th Street,6,5,4,4,2456,1456,1452,1951
 116th Avenue,11,7,7,9,2451,1454,1449,1946
 116th Street,6,6,6,6,2456,1455,1450,1949
