on_street_name,danger_score
 100th Avenue,8
 100th Street,15
 101st Avenue,30
 101st Street,10
 102nd Avenue,2
 102nd Street,17
 103rd Avenue,11
 103rd Street,27
 104th Avenue,14
 104th Road,1
 104th Street,26
 105th Avenue,9
 105th Street,9
 106th Avenue,1
 106th Street,11
 107th Avenue,22
 107th Street,12
 108th Avenue,1
 108th Street,32
 109th Avenue,9
 109th Road,5
 109th Street,6
 10th Avenue,4
 10th Street,13
 110th Avenue,12
 110th Road,4
 110th Street,12
 111th Avenue,5
 111th Street,33
 112th Avenue,5
 112th Road,5
 112th Street,8
 113th Avenue,8
 113th Drive,1
 113th Road,1
 113th Street,6
 114th Drive,1
 114th Road,10
 114th Street,14
 115th Avenue,9
 115th Drive,3
 115th Road,3
 115th Street,6
 116th Avenue,11
 116th Street,6
 117th Street,12
 118th Avenue,7
 118th Street,9
 119th Avenue,8
 119th Road,2
 11th Avenue,1
 11th Street,4
 120th Avenue,6
 120th Street,6
 121st Avenue,1
 121st Street,10
 122nd Avenue,3
 122nd Place,4
 122nd Street,3
 123rd Avenue,2
 123rd Street,12
 124th Place,1
 124th Street,8
 125th Avenue,3
 125th Street,7
 126th Street,6
 127th Avenue,1
 127th Place,1
 127th Street,9
 128th Avenue,3
 128th Road,1
 128th Street,3
 129th Avenue,1
 129th Street,8
 12th Avenue,1
 12th Street,6
 130th Avenue,6
 130th Street,11
 131st Avenue,1
 131st Street,6
 132nd Avenue,1
 132nd Street,8
 133rd Avenue,12
 133rd Street,1
 134th Avenue,1
 134th Street,19
 135th Avenue,15
 135th Street,10
 136th Avenue,2
 136th Street,2
 137th Avenue,3
 137th Street,2
 138th Avenue,2
 138th Place,2
 138th Road,1
 138th Street,5
 139th Avenue,3
 139th Street,7
 13th Avenue,1
 13th Street,3
 140th Avenue,4
 140th Street,4
 141st Avenue,5
 141st Road,1
 141st Street,2
 142nd Place,1
 142nd Street,6
 143rd Avenue,1
 143rd Road,1
 143rd Street,3
 144th Avenue,3
 144th Road,2
 144th Street,9
 144th Terrace,1
 145th Avenue,9
 145th Drive,1
 145th Road,3
 145th Street,2
 146th Avenue,1
 146th Drive,1
 146th Street,5
 147th Avenue,4
 147th Place,2
 147th Road,1
 147th Street,5
 148th Avenue,8
 148th Road,2
 148th Street,3
 149th Avenue,7
 149th Drive,3
 149th Road,1
 149th Street,4
 14th Avenue,10
 14th Road,5
 14th Street,1
 150th Avenue,2
 150th Street,17
 151st Avenue,1
 152nd Avenue,1
 153rd Avenue,8
 153rd Street,12
 154th Street,6
 155th Avenue,1
 155th Street,4
 156th Street,8
 157th Street,7
 158th Avenue,1
 158th Street,3
 159th Street,20
 160th Street,15
 161st Street,13
 162nd Street,14
 163rd Road,1
 163rd Street,3
 164th Drive,1
 164th Place,7
 164th Street,20
 165th Avenue,2
 165th Street,16
 166th Place,3
 166th Street,3
 167th Street,14
 168th Place,6
 168th Street,21
 169th Street,6
 16th Road,1
 170th Street,10
 171st Street,9
 172nd Street,15
 173rd Street,10
 174th Street,4
 175th Street,10
 176th Street,1
 177th Place,2
 177th Street,4
 178th Place,3
 178th Street,10
 179th Place,1
 179th Street,3
 17th Road,1
 180th Street,10
 181st Place,3
 181st Street,5
 182nd Place,1
 182nd Street,4
 183rd Place,1
 183rd Street,7
 184th Street,5
 185th Street,4
 186th Street,9
 187th Place,5
 187th Street,4
 188th Street,28
 189th Street,6
 18th Street,3
 190th Street,4
 191st Street,2
 192nd Street,3
 193rd Street,10
 194th Street,4
 195th Place,4
 195th Street,5
 196th Street,4
 197th Street,6
 198th Street,6
 199th Street,16
 19th Avenue,1
 19th Street,2
 1st Street,1
 200th Street,7
 201st Street,7
 202nd Street,8
 203rd Street,1
 204th Street,14
 205th Place,1
 205th Street,5
 207th Street,8
 208th Place,1
 208th Street,17
 209th Street,7
 20th Avenue,35
 20th Road,2
 20th Street,2
 210th Street,2
 211th Place,3
 211th Street,5
 212th Place,1
 212th Street,11
 213th Street,6
 214th Place,1
 214th Street,5
 215th Place,3
 215th Street,10
 216th Street,8
 217th Lane,1
 217th Street,1
 218th Place,1
 218th Street,9
 219th Street,4
 21st Avenue,4
 21st Street,41
 220th Place,1
 220th Street,15
 221st Street,5
 222nd Street,18
 223rd Place,1
 223rd Street,7
 224th Street,6
 225th Street,5
 226th Street,8
 227th Street,7
 228th Street,7
 229th Street,8
 22nd Avenue,1
 22nd Street,5
 230th Street,6
 231st Street,9
 232nd Street,9
 233rd Street,4
 234th Place,1
 234th Street,10
 235th Street,1
 23rd Avenue,16
 23rd Street,5
 240th Street,2
 241st Street,1
 242nd Street,4
 243rd Street,11
 244th Street,7
 246th Street,3
 248th Street,3
 249th Street,9
 24th Avenue,3
 24th Street,6
 251st Street,1
 252nd Street,3
